device_size,DriverICIdx,LED_zone1,IC_current1,groupidx,name,LED_driverIC,device_type,customer,end_user,classIdx,index
39,6,308,7.3,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,1,1
39,6,1476,7.3,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,2,2
39,7,308,8.9,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,1,3
39,6,1476,9.8,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,2,4
39,6,198,13,30,Mbean(Mid),TLC6C5748QDCARQ1,Mbean(Mid),Continental,Benz,3,5
39,6,990,13,30,Mbean(Mid),TLC6C5748QDCARQ1,Mbean(Mid),Continental,Benz,4,6
17.9,6,814,5.7,4,"17.9""",TLC6C5748QDCARQ1,"17.9""",BOSCH,BMW,5,7
17.9,6,814,6.8,4,"17.9""",TLC6C5748QDCARQ1,"17.9""",BOSCH,BMW,5,8
17.9,6,814,4.8,4,"17.9""",TLC6C5748QDCARQ1,"17.9""",BOSCH,BMW,5,9
17.9,6,814,5.8,4,"17.9""",TLC6C5748QDCARQ1,"17.9""",BOSCH,BMW,5,10
39,6,756,7.3,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,6,11
39,6,720,7.3,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,7,12
39,6,756,9.8,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,6,13
39,6,720,9.8,29,Mbean(High),TLC6C5748QDCARQ1,Mbean(High),Continental,Benz,7,14
39,6,510,13,30,Mbean(Mid),TLC6C5748QDCARQ1,Mbean(Mid),Continental,Benz,8,15
39,6,480,13,30,Mbean(Mid),TLC6C5748QDCARQ1,Mbean(Mid),Continental,Benz,9,16
25.44,6,558,8.2,9,AZV,TLC6C5748QDCARQ1,AZV,Visteon,BMW,10,17
25.44,6,510,8.2,9,AZV,TLC6C5748QDCARQ1,AZV,Visteon,BMW,11,18
12.8,6,576,5.8,36,SGM12.8,TLC6C5748QDCARQ1,SGM,Continental,GM,12,19
19.9,6,983,6.5,37,SGM19.9,TLC6C5748QDCARQ1,SGM,Continental,GM,13,20
35.6,6,624,6.5,38,SGM35.6,TLC6C5748QDCARQ1,SGM,Continental,GM,14,21
35.6,6,1056,6.5,38,SGM35.6,TLC6C5748QDCARQ1,SGM,Continental,GM,15,22
15.19,6,480,14,18,"CDS15.19""",TLC6C5748QDCARQ1,"CDS15.19""",BOSCH,VOLVO,16,23
15.19,6,480,14.5,18,"CDS15.19""",TLC6C5748QDCARQ1,"CDS15.19""",BOSCH,VOLVO,16,24
14.4,6,432,12.8,17,BR223,TLC6C5748QDCARQ1,BR223,Visteon,Benz,17,25
14.4,6,665,8.3,17,BR223,TLC6C5748QDCARQ1,BR223,Visteon,Benz,18,26
